
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches,-9999
360,Marek Rodák,sk SVK,GK,Fulham,25-329,1996,2.0,29,61,47.5,1170,1042,3,3,100.0,8,9,88.9,17,48,35.4,0,0.0,0.0,0.0,0,0,0,0,0,Matches,17acc2ed
361,Rodri,es ESP,MF,Manchester City,26-138,1996,11.5,1008,1109,90.9,18514,4723,413,449,92.0,471,503,93.6,113,136,83.1,3,0.8,1.3,+2.2,10,111,11,0,64,Matches,6434f10d
362,Rodrigo,es ESP,FWMF,Leeds United,31-246,1991,8.9,172,250,68.8,2618,514,82,104,78.8,56,82,68.3,16,30,53.3,1,1.2,0.5,-0.2,10,16,6,1,9,Matches,1fb1c435
363,Mads Roerslev,dk DEN,DF,Brentford,23-136,1999,3.8,86,120,71.7,1368,485,46,55,83.6,35,40,87.5,4,16,25.0,0,0.5,0.3,-0.5,3,5,3,2,7,Matches,57c94db2
364,Cristian Romero,ar ARG,DF,Tottenham,24-194,1998,7.3,383,440,87.0,7201,2469,145,161,90.1,194,206,94.2,38,52,73.1,0,0.3,0.4,-0.3,3,29,5,0,24,Matches,a3d94a58
365,Oriol Romeu,es ESP,MF,Southampton,31-044,1991,0.8,28,30,93.3,453,79,10,11,90.9,15,16,93.8,2,2,100.0,0,0.0,0.2,0.0,0,0,2,0,3,Matches,4b511457
366,Cristiano Ronaldo,pt POR,FW,Manchester Utd,37-275,1985,5.8,121,162,74.7,1412,258,85,97,87.6,27,39,69.2,1,5,20.0,0,0.4,0.2,-0.4,6,7,1,0,7,Matches,dea698d9
367,Connor Ronan,ie IRL,MF,Wolves,24-246,1998,0.0,3,4,75.0,37,18,2,2,100.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,3,0,0,0,Matches,1b804500
368,Salomón Rondón,ve VEN,FW,Everton,33-052,1989,1.2,22,29,75.9,203,35,15,21,71.4,3,3,100.0,0,0,,0,0.2,0.1,-0.2,2,2,1,0,1,Matches,b318a643
369,Joe Rothwell,eng ENG,MFDF,Bournemouth,27-300,1995,0.2,7,8,87.5,123,39,3,3,100.0,3,4,75.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches,10a10454
370,José Sá,pt POR,GK,Wolves,29-294,1993,14.0,351,478,73.4,8441,5762,86,87,98.9,198,202,98.0,66,183,36.1,0,0.0,0.0,0.0,0,7,0,0,0,Matches,903b6e8b
371,Allan Saint-Maximin,fr FRA,FW,Newcastle Utd,25-240,1997,4.2,98,147,66.7,1639,517,50,67,74.6,40,58,69.0,8,11,72.7,3,1.2,1.0,+1.8,8,7,13,2,21,Matches,2b16cb1a
372,Bukayo Saka,eng ENG,MFFW,Arsenal,21-063,2001,12.0,361,466,77.5,5291,1230,227,257,88.3,92,116,79.3,28,51,54.9,6,2.7,1.8,+3.3,26,15,21,7,24,Matches,bc7dc64d
373,Mohamed Salah,eg EGY,FWMF,Liverpool,30-145,1992,12.7,267,348,76.7,3542,1038,160,189,84.7,72,97,74.2,13,21,61.9,3,2.2,2.4,+0.8,29,13,29,3,40,Matches,e342ad68
374,William Saliba,fr FRA,DF,Arsenal,21-228,2001,12.8,785,852,92.1,14328,5358,299,311,96.1,427,454,94.1,51,68,75.0,1,0.9,0.1,+0.1,3,35,2,0,32,Matches,972aeb2a
375,Mohammed Salisu,gh GHA,DF,Southampton,23-204,1999,13.0,527,713,73.9,9819,4551,204,237,86.1,267,328,81.4,52,127,40.9,1,0.5,0.3,+0.5,4,47,4,3,34,Matches,0b33f6ad
376,Albert Sambi Lokonga,be BEL,MF,Arsenal,23-016,1999,2.2,132,140,94.3,2321,539,59,62,95.2,60,63,95.2,11,12,91.7,0,0.0,0.1,0.0,1,17,1,0,9,Matches,1b4f1169
377,Davinson Sánchez,co COL,DF,Tottenham,26-148,1996,5.5,304,346,87.9,5494,1604,108,112,96.4,178,190,93.7,15,36,41.7,0,0.1,0.2,-0.1,1,18,1,1,14,Matches,da7b447d
378,Robert Sánchez,es ESP,GK,Brighton,24-354,1997,13.0,312,448,69.6,8225,5422,75,76,98.7,157,160,98.1,77,203,37.9,0,0.0,0.0,0.0,0,10,0,0,0,Matches,6a713852
379,Jadon Sancho,eng ENG,MFFW,Manchester Utd,22-227,2000,7.9,243,298,81.5,2922,673,178,202,88.1,45,55,81.8,5,10,50.0,1,0.8,0.9,+0.2,14,7,12,0,22,Matches,dbf053da
380,Morgan Sanson,fr FRA,MF,Aston Villa,28-081,1994,0.0,3,3,100.0,38,0,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,6e7f1353
381,Jeremy Sarmiento,ec ECU,MFFW,Brighton,20-144,2002,0.1,1,1,100.0,12,0,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,ac0d576d
382,Gianluca Scamacca,it ITA,FW,West Ham,23-310,1999,7.4,84,127,66.1,1486,299,41,59,69.5,23,38,60.5,14,16,87.5,0,0.6,0.4,-0.6,12,12,3,1,8,Matches,8790f988
383,Fabian Schär,ch SUI,DF,Newcastle Utd,30-322,1991,12.8,490,650,75.4,9797,4264,186,213,87.3,238,281,84.7,64,145,44.1,0,0.3,0.8,-0.3,7,53,7,1,43,Matches,c8aa95da
